date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:45:43	6564/6564	---M-Z	200	added ('OK')	text/html	etag:W/%225e64ced7-19a4%22	https://technext.github.io/tulen/index.html	/home/cod/Desktop/advert-web/technext.github.io/tulen/index.html	(from )
23:45:45	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225ececa4d-247b%22	https://technext.github.io/robots.txt		(from )
23:45:46	159515/159515	---M-Z	200	added ('OK')	text/css	etag:W/%225e64ced7-26f1b%22	https://technext.github.io/tulen/css/bootstrap.min.css	/home/cod/Desktop/advert-web/technext.github.io/tulen/css/bootstrap.min.css	(from https://technext.github.io/tulen/index.html)
23:45:47	31000/31000	---M-Z	200	added ('OK')	text/css	etag:W/%225e64ced7-7918%22	https://technext.github.io/tulen/css/font-awesome.min.css	/home/cod/Desktop/advert-web/technext.github.io/tulen/css/font-awesome.min.css	(from https://technext.github.io/tulen/index.html)
23:45:47	16450/16450	---M-Z	200	added ('OK')	text/css	etag:W/%225e64ced7-4042%22	https://technext.github.io/tulen/css/themify-icons.css	/home/cod/Desktop/advert-web/technext.github.io/tulen/css/themify-icons.css	(from https://technext.github.io/tulen/index.html)
23:45:48	1059/1059	---M-Z	200	added ('OK')	text/css	etag:W/%225e64ced7-423%22	https://technext.github.io/tulen/css/accordion.css	/home/cod/Desktop/advert-web/technext.github.io/tulen/css/accordion.css	(from https://technext.github.io/tulen/index.html)
23:45:49	3351/3351	---M-Z	200	added ('OK')	text/css	etag:W/%225e64ced7-d17%22	https://technext.github.io/tulen/css/owl.carousel.min.css	/home/cod/Desktop/advert-web/technext.github.io/tulen/css/owl.carousel.min.css	(from https://technext.github.io/tulen/index.html)
23:45:50	31152/31152	---M-Z	200	added ('OK')	text/css	etag:W/%225e64ced7-79b0%22	https://technext.github.io/tulen/css/style.css	/home/cod/Desktop/advert-web/technext.github.io/tulen/css/style.css	(from https://technext.github.io/tulen/index.html)
23:45:51	1343/1343	---M--	200	added ('OK')	image/png	etag:%225e64ced7-53f%22	https://technext.github.io/tulen/img/logo.png	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/logo.png	(from https://technext.github.io/tulen/index.html)
23:45:52	6797/6797	---M-Z	200	added ('OK')	text/html	etag:W/%225e64ced7-1a8d%22	https://technext.github.io/tulen/about.html	/home/cod/Desktop/advert-web/technext.github.io/tulen/about.html	(from https://technext.github.io/tulen/index.html)
23:45:53	7212/7212	---M-Z	200	added ('OK')	text/html	etag:W/%225e64ced7-1c2c%22	https://technext.github.io/tulen/gallery.html	/home/cod/Desktop/advert-web/technext.github.io/tulen/gallery.html	(from https://technext.github.io/tulen/index.html)
23:45:54	8618/8618	---M-Z	200	added ('OK')	text/html	etag:W/%225e64ced7-21aa%22	https://technext.github.io/tulen/blog.html	/home/cod/Desktop/advert-web/technext.github.io/tulen/blog.html	(from https://technext.github.io/tulen/index.html)
23:45:55	4237/4237	---M-Z	200	added ('OK')	text/html	etag:W/%225e64ced7-108d%22	https://technext.github.io/tulen/contact.html	/home/cod/Desktop/advert-web/technext.github.io/tulen/contact.html	(from https://technext.github.io/tulen/index.html)
23:45:56	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225cc36b88-247b%22	https://technext.github.io/tulen/img/Hero/author.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/Hero/author.jpg	(from https://technext.github.io/tulen/index.html)
